"24"	2001	8.8	44291
"Alias"	2001	7.8	12081
"Angel"	1999	8.5	15078
"Angels in America"	2003	8.2	12954
"Arrested Development"	2003	9.6	51083
"Avatar: The Last Airbender"	2005	9.3	16589
"Band of Brothers"	2001	9.6	80486
"Battlestar Galactica"	2003	8.3	17026
"Battlestar Galactica"	2004	9.0	37067
"Bones"	2005	8.4	20203
"Buffy the Vampire Slayer"	1997	8.5	30108
"CSI: Crime Scene Investigation"	2000	8.3	21942
"CSI: Miami"	2002	6.6	13309
"Carnivàle"	2003	9.0	10405
"Charmed"	1998	6.8	12421
"Community"	2009	9.0	12622
"Criminal Minds"	2005	8.4	14114
"Dead Like Me"	2003	8.7	11416
"Deadwood"	2004	9.2	15479
"Desperate Housewives"	2004	7.8	27191
"Dexter"	2006	9.3	15917
"Doctor Who"	2005	8.8	16263
"Dr. Horrible's Sing-Along Blog"	2008	8.9	12935
"Entourage"	2004	9.1	41822
"Everybody Loves Raymond"	1996	7.4	13097
"Extras"	2005	8.9	11028
"Family Guy"	1999	8.7	60299
"Fawlty Towers"	1975	9.3	10229
"Firefly"	2002	9.4	41706
"FlashForward"	2009	8.0	18141
"Frasier"	1993	8.4	15001
"Freaks and Geeks"	1999	9.5	19728
"Friday Night Lights"	2006	8.7	11342
"Friends"	1994	8.9	79589
"Futurama"	1999	9.2	32503
"Generation Kill"	2008	8.8	11662
"Gilmore Girls"	2000	8.2	17507
"Glee"	2009	8.3	29000
"House M.D."	2004	8.9	10324
"How I Met Your Mother"	2005	8.8	14975
"It's Always Sunny in Philadelphia"	2005	9.5	26951
"Jericho"	2006	8.2	17066
"Law & Order: Special Victims Unit"	1999	8.5	10754
"Lost"	2004	8.6	39414
"Mad Men"	2007	9.0	21355
"Malcolm in the Middle"	2000	8.4	17364
"Married with Children"	1987	8.6	19375
"Modern Family"	2009	9.1	18297
"My Name Is Earl"	2005	8.5	23545
"MythBusters"	2003	9.0	10124
"Nip/Tuck"	2003	8.3	17345
"One Tree Hill"	2003	7.7	17614
"Oz"	1997	9.3	14067
"Planet Earth"	2006	9.8	14499
"Pride and Prejudice"	1995	9.2	22417
"Prison Break"	2005	8.8	77284
"Psych"	2006	8.7	16474
"Rome"	2005	9.2	20841
"Scrubs"	2001	9.1	62350
"Seinfeld"	1990	9.4	43311
"Sex and the City"	1998	7.0	21430
"Six Feet Under"	2001	9.2	22827
"Skins"	2007	8.8	12965
"Smallville"	2001	7.7	27906
"South Park"	1997	9.3	52422
"Spaced"	1999	9.3	11514
"Spartacus: Blood and Sand"	2010	8.8	23414
"Star Trek"	1966	8.6	11014
"Star Trek: The Next Generation"	1987	8.8	14760
"Star Trek: Voyager"	1995	7.5	10005
"Stargate SG-1"	1997	8.6	16396
"Supernatural"	2005	8.9	17521
"That '70s Show"	1998	8.5	27720
"The Big Bang Theory"	2007	8.8	12080
"The Fresh Prince of Bel-Air"	1990	8.2	18778
"The IT Crowd"	2006	8.9	13113
"The King of Queens"	1998	8.1	13817
"The O.C."	2003	7.5	21689
"The Office"	2001	9.2	17142
"The Office"	2005	9.3	57023
"The Pacific"	2010	8.4	15088
"The Sopranos"	1999	9.4	38036
"The Stand"	1994	7.2	13142
"The Tudors"	2007	8.2	10050
"The Vampire Diaries"	2009	8.1	17532
"The Walking Dead"	2010	9.0	26231
"The West Wing"	1999	8.9	11025
"The Wire"	2002	9.7	31801
"The X Files"	1993	9.0	29849
"Twin Peaks"	1990	9.4	24247
"Veronica Mars"	2004	8.7	14497
"Will & Grace"	1998	7.1	11214
'Crocodile' Dundee II	1988	5.1	17431
(500) Days of Summer	2009	8.0	88176
*batteries not included	1987	6.1	10173
...And Justice for All.	1979	7.2	10120
10 Things I Hate About You	1999	6.9	66326
10,000 BC	2008	4.9	49715
100 Girls	2000	5.8	10997
101 Dalmatians	1996	5.4	20664
11:14	2003	7.3	19464
12 Angry Men	1957	8.9	135233
127 Hours	2010	8.0	51735
13 Going on 30	2004	6.1	34943
1408	2007	6.9	78593
1492: Conquest of Paradise	1992	6.3	10909
15 Minutes	2001	6.1	26605
16 Blocks	2006	6.7	43738
17 Again	2009	6.5	32714
1941	1979	5.7	13811
2 Days in Paris	2007	6.9	12308
2 Days in the Valley	1996	6.4	10234
2 Fast 2 Furious	2003	5.2	48205
2001: A Space Odyssey	1968	8.4	172733
2010	1984	6.6	19062
2046	2004	7.5	20503
21	2008	6.7	66417
21 Grams	2003	7.9	83633
24 Hour Party People	2002	7.3	13255
25th Hour	2002	7.9	62873
27 Dresses	2008	6.0	31374
28 Days	2000	5.8	18576
28 Days Later...	2002	7.6	113054
28 Weeks Later	2007	7.0	75289
3 Idiots	2009	8.3	14280
3 Men and a Baby	1987	5.7	17542
30 Days of Night	2007	6.6	56950
300	2006	7.8	251222
3000 Miles to Graceland	2001	5.6	20923
3:10 to Yuma	2007	7.9	106059
4 luni, 3 saptamâni si 2 zile	2007	7.9	21452
40 Days and 40 Nights	2002	5.4	29720
48 Hrs.	1982	6.9	23156
4: Rise of the Silver Surfer	2007	5.7	60889
50 First Dates	2004	6.8	71199
54	1998	5.6	15472
8 Mile	2002	6.7	61212
8 femmes	2002	7.0	14161
88 Minutes	2007	5.9	33269
8MM	1999	6.3	49996
8½	1963	8.2	32474
A Beautiful Mind	2001	8.0	138759
A Bridge Too Far	1977	7.3	17650
A Bronx Tale	1993	7.7	31841
A Bug's Life	1998	7.3	61292
A Charlie Brown Christmas	1965	8.4	10301
A Christmas Carol	2009	6.9	17243
A Christmas Story	1983	8.0	56268
A Cinderella Story	2004	5.4	16173
A Civil Action	1998	6.4	14562
A Clockwork Orange	1971	8.5	210274
A Few Good Men	1992	7.6	67590
A Fish Called Wanda	1988	7.7	52014
A Good Year	2006	6.8	25036
A Grand Day Out with Wallace and Gromit	1989	7.8	11534
A Guide to Recognizing Your Saints	2006	7.0	12196
A Hard Day's Night	1964	7.6	15897
A History of Violence	2005	7.6	84897
A Knight's Tale	2001	6.6	51117
A League of Their Own	1992	7.0	34806
A Life Less Ordinary	1997	6.3	19205
A Lot Like Love	2005	6.4	19478
A Love Song for Bobby Long	2004	7.1	12967
A Man Apart	2003	5.8	15788
A Man for All Seasons	1966	8.0	12954
A Midsummer Night's Dream	1999	6.3	11500
A Mighty Heart	2007	6.7	14714
A Mighty Wind	2003	7.2	13983
A Night at the Opera	1935	8.1	14761
A Night at the Roxbury	1998	5.8	24485
A Nightmare on Elm Street	1984	7.4	50220
A Nightmare on Elm Street	2010	5.1	23333
A Nightmare on Elm Street 3: Dream Warriors	1987	6.3	18588
A Nightmare on Elm Street 4: The Dream Master	1988	5.2	14201
A Nightmare on Elm Street Part 2: Freddy's Revenge	1985	4.9	17375
A Nightmare on Elm Street: The Dream Child	1989	4.7	11592
A Perfect Getaway	2009	6.5	19408
A Perfect Murder	1998	6.4	24534
A Perfect World	1993	7.3	26455
A Prairie Home Companion	2006	6.9	14017
A River Runs Through It	1992	7.1	20744
A Room with a View	1985	7.5	13751
A Scanner Darkly	2006	7.1	44562
A Serious Man	2009	7.2	39008
A Shot in the Dark	1964	7.6	10616
A Simple Plan	1998	7.6	30003
A Single Man	2009	7.6	21101
A Sound of Thunder	2005	4.1	10326
A Streetcar Named Desire	1951	8.1	36771
A Time to Kill	1996	7.1	40563
A View to a Kill	1985	6.1	24981
A Walk in the Clouds	1995	6.3	10838
A Walk to Remember	2002	7.1	41729
AVP: Alien vs. Predator	2004	5.4	66796
AVPR: Aliens vs Predator - Requiem	2007	4.8	46179
About Schmidt	2002	7.3	55758
About a Boy	2002	7.3	52079
Abre los ojos	1997	7.9	24045
Absolute Power	1997	6.6	21010
Accepted	2006	6.4	29660
Ace Ventura: Pet Detective	1994	6.6	68731
Ace Ventura: When Nature Calls	1995	5.7	55054
Across the Universe	2007	7.4	48293
Adams æbler	2005	7.8	11496
Adaptation.	2002	7.9	70969
Addams Family Values	1993	6.3	21960
Addicted to Love	1997	5.9	10882
Adventureland	2009	7.1	40873
Adventures in Babysitting	1987	6.5	12776
After Hours	1985	7.6	17858
After the Sunset	2004	6.2	20707
Agent Cody Banks	2003	5.1	10221
Agora	2009	7.2	14046
Aguirre, der Zorn Gottes	1972	8.1	18748
Air America	1990	5.4	10692
Air Force One	1997	6.3	64444
Airheads	1994	5.7	19265
Airplane II: The Sequel	1982	5.8	15841
Airplane!	1980	7.8	61465
Akira	1988	7.9	42205
Aladdin	1992	7.8	75075
Alexander	2004	5.4	63673
Alfie	2004	6.1	22038
Ali	2001	6.6	33553
Ali G Indahouse	2002	6.0	22363
Alice in Wonderland	1951	7.5	22037
Alice in Wonderland	2010	6.6	81116
Alien	1979	8.5	195879
Alien: Resurrection	1997	6.2	69944
Aliens	1986	8.5	183121
Alien³	1992	6.3	83366
Alive	1993	6.9	16948
All About Eve	1950	8.5	37609
All About Steve	2009	4.8	10342
All Quiet on the Western Front	1930	8.2	23462
All That Jazz	1979	7.6	10036
All the King's Men	2006	6.0	12608
All the President's Men	1976	8.0	33890
Almost Famous	2000	8.0	99241
Alone in the Dark	2005	2.3	26871
Along Came Polly	2004	5.8	40672
Along Came a Spider	2001	6.1	23955
Alpha Dog	2006	6.9	41624
Alvin and the Chipmunks	2007	5.4	20724
Always	1989	6.2	11456
Amadeus	1984	8.4	105824
Amarcord	1973	7.9	13906
Amazing Grace	2006	7.5	10009
America's Sweethearts	2001	5.7	27870
American Beauty	1999	8.6	317265
American Dreamz	2006	5.7	15545
American Gangster	2007	7.9	121600
American Graffiti	1973	7.6	32205
American History X	1998	8.6	248570
American Pie	1999	6.9	113882
American Pie 2	2001	6.2	71183
American Pie Presents Band Camp	2005	4.9	20609
American Pie Presents Beta House	2007	5.2	15408
American Pie Presents The Naked Mile	2006	4.9	17318
American Psycho	2000	7.5	108090
American Splendor	2003	7.6	24692
American Wedding	2003	6.1	55905
Amistad	1997	7.1	29821
Amores perros	2000	8.2	66715
An American Haunting	2005	4.9	14161
An American Tail	1986	6.7	10572
An American Werewolf in London	1981	7.5	25825
An American Werewolf in Paris	1997	4.9	10502
An American in Paris	1951	7.3	10020
An Education	2009	7.4	28852
An Inconvenient Truth	2006	7.9	36569
An Officer and a Gentleman	1982	6.8	17461
An Unfinished Life	2005	7.1	12298
Anaconda	1997	4.3	31747
Anacondas: The Hunt for the Blood Orchid	2004	4.3	10076
Analyze That	2002	5.6	25640
Analyze This	1999	6.6	55474
Anastasia	1997	6.7	18321
Anatomy of a Murder	1959	8.1	17759
Anchorman: The Legend of Ron Burgundy	2004	7.0	83638
Andrey Rublyov	1966	8.2	11099
Angel Eyes	2001	5.5	11431
Angel Heart	1987	7.3	26424
Angel-A	2005	7.0	10121
Angela's Ashes	1999	7.1	10526
Angels & Demons	2009	6.7	66862
Anger Management	2003	6.1	61522
Animal House	1978	7.6	43661
Anna and the King	1999	6.5	15436
Annie Hall	1977	8.3	70948
Another 48 Hrs.	1990	5.4	12564
Antichrist	2009	6.7	25695
Antitrust	2001	6.0	16868
Antwone Fisher	2002	7.3	13794
Antz	1998	6.8	39777
Any Given Sunday	1999	6.6	50627
Anything Else	2003	6.4	13607
Apocalypse Now	1979	8.6	187193
Apocalypto	2006	7.9	88632
Apollo 13	1995	7.5	91858
Appaloosa	2008	6.8	25013
Apt Pupil	1998	6.6	17011
Arachnophobia	1990	6.2	21658
Arizona Dream	1993	7.3	15030
Arlington Road	1999	7.2	37381
Armored	2009	5.6	11632
Army of Darkness	1992	7.6	58378
Around the World in 80 Days	2004	5.6	23397
Arsenic and Old Lace	1944	8.1	32097
Art School Confidential	2006	6.3	10151
Arthur	1981	6.7	10269
Artificial Intelligence: AI	2001	7.0	98440
As Good as It Gets	1997	7.8	97554
Assassins	1995	6.0	24735
Assault on Precinct 13	1976	7.4	14129
Assault on Precinct 13	2005	6.3	28128
Astérix & Obélix: Mission Cléopâtre	2002	6.5	12382
Atlantis: The Lost Empire	2001	6.4	16789
Atonement	2007	7.8	81236
Au revoir les enfants	1987	8.1	10707
Auf der anderen Seite	2007	7.9	10523
August Rush	2007	7.5	31618
Austin Powers in Goldmember	2002	6.1	73092
Austin Powers: International Man of Mystery	1997	7.1	78378
